temp,dwpt,rhum,snow,wspd,wpgt,pres,coco,el_price,valge,day_of_week_sin,day_of_week_cos,weekend,day_sin,day_cos,hour_sin,hour_cos,month_sin,month_cos,wdir_sin,wdir_cos,wpgt/wspd,avg_temp_of_day
11.2,10.3,94.0,0.0,7.2,16.7,12.600000000000023,2.0,0.0901599999999999,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.0,1.0,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,2.319444444444444,12.600000000000001
10.7,9.6,93.0,0.0,7.2,13.0,12.600000000000023,2.0,0.09251,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,1.8055555555555556,12.600000000000001
9.9,9.0,94.0,0.0,7.2,13.0,12.200000000000045,2.0,0.0889,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,1.8055555555555556,12.600000000000001
10.0,8.4,90.0,0.0,7.2,13.0,11.899999999999977,1.0,0.08735,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.7071067811865476,0.7071067811865476,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,1.8055555555555556,12.600000000000001
9.0,8.1,94.0,0.0,3.6,13.0,11.399999999999977,2.0,0.08688,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,3.611111111111111,12.600000000000001
9.3,8.8,97.0,0.0,7.2,13.0,11.299999999999955,2.0,0.08843,0,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,1.8055555555555556,12.600000000000001
10.4,9.3,93.0,0.0,7.2,14.8,11.299999999999955,2.0,0.09358,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,-0.7660444431189781,0.6427876096865393,2.055555555555556,12.600000000000001
10.7,9.6,93.0,0.0,7.2,16.7,11.299999999999955,4.0,0.1187,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,-0.7660444431189781,0.6427876096865393,2.319444444444444,12.600000000000001
11.6,9.8,89.0,0.0,7.2,18.5,11.200000000000045,2.0,0.13544,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,2.569444444444444,12.600000000000001
12.8,9.8,82.0,0.0,10.8,20.4,11.0,1.0,0.14072,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,1.8888888888888886,12.600000000000001
14.2,10.0,76.0,0.0,10.8,22.2,10.700000000000045,2.0,0.13,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.5000000000000003,-0.8660254037844385,-1.0,-1.8369701987210297e-16,-0.6427876096865396,0.7660444431189778,2.0555555555555554,12.600000000000001
15.3,10.3,72.0,0.0,14.4,25.9,10.899999999999977,2.0,0.11699,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,-0.7660444431189781,0.6427876096865393,1.798611111111111,12.600000000000001
16.4,10.3,67.0,0.0,14.4,25.9,10.600000000000023,2.0,0.10975,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-0.9396926207859083,0.342020143325669,1.798611111111111,12.600000000000001
16.4,9.6,64.0,0.0,14.4,29.6,10.399999999999977,2.0,0.10388,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,-0.25881904510252035,-0.9659258262890684,-1.0,-1.8369701987210297e-16,-0.7660444431189781,0.6427876096865393,2.055555555555556,12.600000000000001
15.6,7.4,58.0,0.0,14.4,31.5,10.299999999999955,2.0,0.098,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384,2.1875,12.600000000000001
16.5,7.2,54.0,0.0,14.4,31.5,10.100000000000023,3.0,0.09498,1,0.9749279121818236,-0.22252093395631434,0,0.20129852008866006,0.9795299412524945,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,2.1875,12.600000000000001
